date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-11-11,2357,7405526,4516728220,625.0,625.0,598.0,614.0,-7.0,8050
2024-11-12,2357,5082315,3129791438,605.0,624.0,604.0,612.0,-2.0,5707
2024-11-13,2357,2948691,1802741374,611.0,617.0,607.0,611.0,-1.0,3373
2024-11-14,2357,6514720,4064904944,615.0,631.0,613.0,623.0,12.0,6207
2024-11-15,2357,8728495,5393288557,625.0,646.0,604.0,607.0,-16.0,8957
2024-11-18,2357,11158749,6886298217,614.0,623.0,610.0,612.0,5.0,8614
2024-11-19,2357,13122586,8265436521,619.0,642.0,617.0,622.0,10.0,10581
2024-11-20,2357,11020116,6890423300,623.0,637.0,616.0,619.0,-3.0,10826
2024-11-21,2357,9349250,5759739417,620.0,625.0,610.0,610.0,-9.0,10990
2024-11-22,2357,10186323,6251166492,614.0,618.0,608.0,611.0,1.0,8389
2024-11-25,2357,14052208,8574296475,612.0,623.0,602.0,602.0,-9.0,9289
2024-11-26,2357,9025998,5522249455,604.0,619.0,595.0,617.0,15.0,7859
2024-11-27,2357,7752311,4657863343,614.0,617.0,592.0,594.0,-23.0,9891
2024-11-28,2357,5076900,2956673222,594.0,595.0,576.0,581.0,-13.0,8025
2024-11-29,2357,4370258,2561007366,579.0,597.0,574.0,588.0,7.0,4265
2024-12-02,2357,3229794,1936159512,594.0,603.0,591.0,602.0,14.0,3588
2024-12-03,2357,5363294,3190374990,610.0,612.0,586.0,595.0,-7.0,7664
2024-12-04,2357,3122838,1870599812,594.0,603.0,592.0,601.0,6.0,3214
2024-12-05,2357,6319368,3793330562,600.0,608.0,596.0,600.0,-1.0,3337
2024-12-06,2357,6125669,3663343556,600.0,606.0,591.0,598.0,-2.0,5135
2024-12-09,2357,2564371,1550387858,599.0,608.0,597.0,608.0,10.0,3161
2024-12-10,2357,2669274,1618740593,615.0,617.0,600.0,605.0,-3.0,5000
2024-12-11,2357,2012837,1212704788,602.0,606.0,598.0,604.0,-1.0,2262
2024-12-12,2357,2206599,1339034242,608.0,610.0,603.0,608.0,4.0,2302
2024-12-13,2357,2169318,1327512498,611.0,615.0,606.0,615.0,7.0,3118
2024-12-16,2357,3464098,2092840578,618.0,618.0,594.0,601.0,-14.0,7221
2024-12-17,2357,4013509,2401123392,600.0,603.0,595.0,595.0,-6.0,3486
2024-12-18,2357,2503570,1515544719,596.0,609.0,596.0,609.0,14.0,2517
2024-12-19,2357,3686176,2200338225,598.0,602.0,586.0,602.0,-7.0,5085
2024-12-20,2357,3815400,2289518353,597.0,605.0,596.0,600.0,-2.0,3121
2024-12-23,2357,4460075,2744872733,609.0,622.0,606.0,615.0,15.0,5665
2024-12-24,2357,2763600,1702309713,615.0,620.0,610.0,615.0,0.0,3223
2024-12-25,2357,1594368,980972076,619.0,621.0,612.0,613.0,-2.0,1696
2024-12-26,2357,1553528,959533692,618.0,622.0,616.0,616.0,3.0,1873
2024-12-27,2357,1273077,792059462,620.0,624.0,617.0,624.0,8.0,2630
2024-12-30,2357,1209573,750754373,621.0,625.0,617.0,617.0,-7.0,1794
2024-12-31,2357,1574080,969672909,615.0,619.0,612.0,616.0,-1.0,1968
2025-01-02,2357,4495811,2756842770,616.0,635.0,602.0,605.0,-11.0,8144
2025-01-03,2357,4497573,2797408228,613.0,628.0,613.0,623.0,18.0,5390
2025-01-06,2357,3476134,2177458532,630.0,632.0,618.0,629.0,6.0,5108
2025-01-07,2357,5203328,3326172576,631.0,648.0,628.0,648.0,19.0,7670
2025-01-08,2357,4548902,2949632649,647.0,660.0,642.0,646.0,-2.0,8794
2025-01-09,2357,2735706,1752875379,645.0,648.0,633.0,633.0,-13.0,3992
2025-01-10,2357,2896922,1816479448,630.0,632.0,623.0,626.0,-7.0,4701
2025-01-13,2357,4338170,2652563748,626.0,626.0,605.0,609.0,-17.0,7700
2025-01-14,2357,3020537,1838184088,608.0,611.0,605.0,608.0,-1.0,3345
2025-01-15,2357,3854848,2295624653,606.0,610.0,591.0,591.0,-17.0,7358
2025-01-16,2357,2254756,1356606319,600.0,607.0,598.0,600.0,9.0,3111
2025-01-17,2357,1739827,1044724305,601.0,605.0,596.0,600.0,0.0,2691
2025-01-20,2357,2032003,1237534573,602.0,613.0,601.0,610.0,10.0,2764
2025-01-21,2357,2793852,1678403266,613.0,613.0,598.0,599.0,-11.0,4490
2025-01-22,2357,2319648,1408554985,602.0,613.0,602.0,607.0,8.0,2752
2025-02-03,2357,11635099,7427954361,600.0,655.0,598.0,649.0,42.0,13637
2025-02-04,2357,6284714,4097010195,644.0,661.0,644.0,647.0,-2.0,7624
2025-02-05,2357,4855913,3179237041,645.0,661.0,643.0,657.0,10.0,5946
2025-02-06,2357,3118631,2028841895,660.0,661.0,645.0,652.0,-5.0,5023
2025-02-07,2357,3711330,2446722629,649.0,665.0,649.0,665.0,13.0,6995
2025-02-10,2357,3337046,2238106010,660.0,675.0,659.0,669.0,4.0,4961
2025-02-11,2357,2436795,1617463432,662.0,669.0,658.0,665.0,-4.0,4201
2025-02-12,2357,3278439,2213719622,672.0,684.0,668.0,675.0,10.0,4872
2025-02-13,2357,1775823,1205247187,680.0,685.0,674.0,679.0,4.0,2310
2025-02-14,2357,2184999,1477226209,677.0,682.0,671.0,678.0,-1.0,2964
2025-02-17,2357,1678066,1140648355,675.0,683.0,675.0,681.0,3.0,3136
2025-02-18,2357,3881799,2694658969,685.0,702.0,682.0,698.0,17.0,5931
2025-02-19,2357,3286979,2278736524,700.0,702.0,688.0,691.0,-7.0,4477
2025-02-20,2357,3057613,2134336315,689.0,704.0,689.0,693.0,2.0,4209
2025-02-21,2357,3827018,2709810635,697.0,713.0,696.0,709.0,16.0,5617
2025-02-24,2357,1955660,1370360404,707.0,715.0,696.0,698.0,-11.0,4276
2025-02-25,2357,3334093,2314244602,693.0,704.0,685.0,691.0,-7.0,4769
2025-02-26,2357,3080403,2127668477,690.0,700.0,685.0,698.0,7.0,3944
2025-02-27,2357,4742280,3240969074,697.0,697.0,677.0,682.0,-16.0,7313
2025-03-03,2357,3410924,2286455238,670.0,683.0,666.0,669.0,-13.0,5804
2025-03-04,2357,3559707,2371153088,661.0,673.0,657.0,670.0,1.0,4664
2025-03-05,2357,2094557,1419864237,672.0,682.0,671.0,678.0,8.0,2330
2025-03-06,2357,1728589,1172702569,676.0,684.0,674.0,674.0,-4.0,2564
2025-03-07,2357,2634444,1746229284,670.0,675.0,659.0,659.0,-15.0,4899
2025-03-10,2357,3187193,2089408099,658.0,664.0,651.0,654.0,-5.0,4302
2025-03-11,2357,3507701,2287336737,644.0,661.0,639.0,654.0,0.0,4573
2025-03-12,2357,20311828,12240601851,600.0,621.0,595.0,600.0,-54.0,33813
2025-03-13,2357,7839959,4826820569,611.0,627.0,607.0,608.0,8.0,11316
2025-03-14,2357,3937221,2396704990,614.0,614.0,605.0,608.0,0.0,5734
2025-03-17,2357,4541832,2824961897,613.0,626.0,610.0,624.0,16.0,5912
2025-03-18,2357,8650508,5613776096,630.0,656.0,630.0,656.0,32.0,9738
2025-03-19,2357,4413773,2860867907,650.0,655.0,644.0,645.0,-11.0,5456
2025-03-20,2357,4837945,3151526764,650.0,660.0,646.0,650.0,5.0,6756
2025-03-21,2357,5633984,3665604696,650.0,654.0,643.0,650.0,0.0,4614
2025-03-24,2357,3318132,2120198373,655.0,655.0,631.0,631.0,-19.0,12866
2025-03-25,2357,4648788,2930543494,637.0,641.0,625.0,631.0,0.0,5468
2025-03-26,2357,6253453,4070004746,660.0,662.0,643.0,645.0,14.0,6759
2025-03-27,2357,4738777,3013925156,633.0,644.0,628.0,640.0,-5.0,5795
2025-03-28,2357,3059808,1958577243,635.0,645.0,634.0,642.0,2.0,4007
2025-03-31,2357,6191256,3834534806,629.0,635.0,609.0,609.0,-33.0,8114
2025-04-01,2357,3738251,2283276784,613.0,616.0,604.0,613.0,4.0,5081
2025-04-02,2357,3725302,2260593655,608.0,611.0,604.0,604.0,-9.0,5999
